iter	Passed	Remaining
407	4765	1074
408	4776	1062
409	4787	1050
410	4798	1039
411	4809	1027
412	4820	1015
413	4832	1003
414	4842	991
415	4853	980
416	4864	968
417	4888	958
418	4899	947
419	4910	935
420	4921	923
421	4932	911
422	4944	900
423	4955	888
424	4967	876
425	4978	864
426	4989	853
427	5000	841
428	5011	829
429	5022	817
430	5033	805
431	5044	794
432	5055	782
433	5067	770
434	5078	758
435	5088	746
436	5099	735
437	5110	723
438	5121	711
439	5132	699
440	5143	688
441	5155	676
442	5166	664
443	5176	652
444	5187	641
445	5198	629
446	5208	617
447	5220	605
448	5231	594
449	5242	582
450	5253	570
451	5264	559
452	5275	547
453	5286	535
454	5297	523
455	5308	512
456	5319	500
457	5331	488
458	5342	477
459	5353	465
460	5364	453
461	5376	442
462	5387	430
463	5397	418
464	5408	407
465	5419	395
466	5443	384
467	5455	372
468	5466	361
469	5476	349
470	5487	337
471	5498	326
472	5509	314
473	5520	302
474	5531	291
475	5542	279
476	5553	267
477	5564	256
478	5576	244
479	5586	232
480	5597	221
481	5609	209
482	5619	197
483	5630	186
484	5641	174
485	5652	162
486	5663	151
487	5675	139
488	5686	127
489	5697	116
490	5708	104
491	5720	93
492	5731	81
493	5742	69
494	5754	58
495	5765	46
496	5776	34
497	5787	23
498	5798	11
499	5809	0
