iter	RMSE
314	44.19901598
315	44.08968014
316	43.91197508
317	43.71329454
318	43.44849665
319	43.32731879
320	43.08330884
321	43.00894591
322	42.77272106
323	42.74339369
324	42.72029512
325	42.56661623
326	42.45513767
327	42.30505173
328	42.10825942
329	41.97005217
330	41.69803678
331	41.49141072
332	41.24770004
333	41.06874664
334	41.03491786
335	41.00347545
336	40.82263648
337	40.59468041
338	40.3205791
339	40.15921064
340	40.122486
341	40.09449408
342	39.9167795
343	39.75385984
344	39.54831555
345	39.43600871
346	39.41133984
347	39.38638184
348	39.18589103
349	38.99962252
350	38.75251062
351	38.51608813
352	38.32213934
353	38.1657416
354	38.1344577
355	37.98295746
356	37.84107643
357	37.63782509
358	37.4946808
359	37.30134882
360	37.08226843
361	36.86445034
362	36.61763436
363	36.44128893
364	36.29070531
365	36.11907657
366	35.94677228
367	35.85087762
368	35.69023987
369	35.5378167
370	35.51321866
371	35.32192829
372	35.07041799
373	34.87542553
374	34.68643892
375	34.55936521
376	34.42217155
377	34.39580195
378	34.295605
379	34.11988031
380	33.93443633
381	33.82060457
382	33.80056797
383	33.7761063
384	33.6220765
385	33.60022974
386	33.46305218
387	33.29237866
388	33.15694838
389	32.97264947
390	32.84062827
391	32.75075294
392	32.73511755
393	32.55653991
394	32.43923463
395	32.33901279
396	32.21678987
397	32.19014723
398	32.05034398
399	31.92122145
400	31.90894214
401	31.76821681
402	31.6221224
403	31.45756396
404	31.43410231
405	31.30039235
406	31.14606184
407	31.05120069
408	30.96487574
409	30.8172735
410	30.65540474
411	30.4989501
412	30.48027038
413	30.37779076
414	30.3539814
415	30.22005473
416	30.0501626
417	29.98343786
418	29.97129761
419	29.84900033
420	29.72327855
421	29.61306684
422	29.59921527
423	29.52865781
424	29.37911415
425	29.30005859
426	29.17949516
427	29.1128766
428	28.97719893
429	28.85317637
430	28.75603387
431	28.63190914
432	28.48186245
433	28.3412032
434	28.31813315
435	28.2816419
436	28.2619602
437	28.1268709
438	27.99400869
439	27.87680652
440	27.75149551
441	27.64027154
442	27.62163717
443	27.56995091
444	27.46179502
445	27.44588883
446	27.30775478
447	27.17017969
448	26.98685865
449	26.8808322
450	26.74532308
451	26.73497273
452	26.71684265
453	26.62987098
454	26.50423583
455	26.38224498
456	26.29370238
457	26.17293242
458	26.07486019
459	25.93647997
460	25.80170492
461	25.65263869
462	25.55835912
463	25.44042875
464	25.41967755
465	25.31672187
466	25.16969157
467	25.15720257
468	25.14557703
469	25.00085808
470	24.88073581
471	24.77212163
472	24.6760683
473	24.64307007
474	24.51336689
475	24.41036827
476	24.378176
477	24.2799524
478	24.19282105
479	24.08102581
480	24.01904319
481	23.96245594
482	23.88922246
483	23.8666359
484	23.82427203
485	23.74978319
486	23.65831807
487	23.57286959
488	23.48429228
489	23.468887
490	23.44582819
491	23.383149
492	23.26616979
493	23.16517584
494	23.06872528
495	22.97217295
496	22.83221789
497	22.75290052
498	22.65800029
499	22.5552355
