iter	RMSE
0	360.5039273
1	348.7683594
2	337.1260409
3	326.0354487
4	316.0045878
5	305.8977536
6	296.6715286
7	287.7520561
8	279.8329343
9	272.3054257
10	265.7610807
11	258.7160978
12	252.5965762
13	247.0249121
14	241.2611694
15	235.7698248
16	230.3640685
17	225.627362
18	221.6100375
19	217.498598
20	213.7215259
21	209.8335493
22	205.7145288
23	202.1751009
24	198.2369463
25	194.8079356
26	191.9065144
27	188.888703
28	186.4856274
29	183.5753456
30	181.3821321
31	179.1256736
32	177.2506693
33	175.1322117
34	172.917339
35	170.8824859
36	168.5792832
37	166.9177069
38	165.1254766
39	163.4965388
40	161.6136952
41	160.03687
42	158.5360983
43	157.3098136
44	155.5483532
45	154.196299
46	152.9013989
47	151.5165828
48	150.5028812
49	149.0266963
50	147.9665998
51	146.0898349
52	144.7859641
53	143.5588074
54	142.7154518
55	141.6077778
56	140.5980349
57	139.5793404
58	139.1292957
59	138.045489
60	136.9581191
61	135.9047859
62	135.3306191
63	134.3334816
64	133.616831
65	132.4307908
66	131.0916719
67	130.5018657
68	129.4220204
69	129.083058
70	128.4397686
71	127.469132
72	126.7991735
73	126.4338803
74	125.6226322
75	124.9014354
76	124.3835743
77	123.6275991
78	123.26754
79	122.3608402
80	121.7752509
81	121.352236
82	120.7278481
83	120.0178078
84	119.190608
85	118.4083399
86	117.8981136
87	117.3519371
88	116.6323155
89	115.7591578
90	115.2563522
91	114.5126329
92	114.0128751
93	113.4331822
94	112.9756915
95	112.4189944
96	111.8779204
97	111.2596521
98	110.7269775
99	109.9091373
100	109.1758737
101	108.7470362
102	108.3654466
103	107.9074808
104	107.1106219
105	106.791369
106	106.2313362
107	105.8804491
108	105.1849669
109	104.8117484
110	104.4996592
111	103.7608906
112	103.3585275
113	103.0392584
114	102.7339879
115	102.0579251
116	101.6548447
117	101.4913727
118	100.6385759
119	100.3979365
120	100.0427258
121	99.73951589
122	99.30561391
123	99.07992727
124	98.70203968
125	98.22910018
126	97.89935967
127	97.28173135
128	96.78000908
129	96.16317681
130	95.6498217
131	95.29181269
132	95.09374947
133	94.81356037
134	94.6214747
135	94.35789926
136	93.6220971
137	93.36457048
138	92.90417116
139	92.28096265
140	92.06347594
141	91.67328879
142	91.42960337
143	91.30228341
144	90.78442379
145	90.41261243
146	90.26798574
147	90.09197308
148	89.61277053
149	89.05523666
150	88.73252115
151	88.22838216
152	87.66700445
153	87.34273114
154	87.06004398
155	86.70916961
156	86.23296998
157	85.95051508
158	85.65012215
159	85.34310104
160	84.70166874
161	84.21713718
162	83.60059762
163	83.17952731
164	82.70627061
165	82.4158731
166	82.0146915
167	81.76966278
168	81.30943128
169	81.05330608
170	80.63761019
171	79.95704804
172	79.57660121
173	79.03599594
174	78.72056334
175	78.18266341
176	78.04144271
177	77.83871205
178	77.16038412
179	76.77939676
180	76.64021338
181	76.17667799
182	75.74073603
183	75.20275226
184	74.79464583
185	74.57511182
186	74.45229628
187	73.95432863
188	73.56458068
189	73.06623992
190	72.75731829
191	72.23615248
192	71.86662206
193	71.3935149
194	70.8991885
195	70.52166615
196	70.46512486
197	70.00326051
198	69.93299121
199	69.49068691
200	69.17409998
201	68.90815137
202	68.56909484
203	68.12172645
204	67.84726032
205	67.38546419
206	67.06428902
207	66.72566557
208	66.27982523
209	65.87911644
210	65.48934817
211	65.43574128
212	65.09639471
213	64.86094482
214	64.62545798
215	64.36892199
216	64.25582234
217	63.84777333
218	63.48597876
219	63.26926984
220	63.0524423
221	62.82798837
222	62.60872115
223	62.44763368
224	62.20114405
225	62.12962152
226	61.77841255
227	61.57418301
228	61.40407384
229	61.25071649
230	61.13966757
231	60.84076176
232	60.49322466
233	60.23475918
234	59.84513043
235	59.47180172
236	59.12542885
237	59.04202757
238	58.75362364
239	58.71338861
240	58.66243815
241	58.4978417
242	58.3663746
243	58.01247234
244	57.65373773
245	57.47600823
246	57.24972781
247	57.10707063
248	56.74769495
249	56.46108751
250	56.40640604
251	56.05846566
252	56.02089494
253	55.70967748
254	55.39028792
255	55.16065363
256	55.00224949
257	54.6266723
258	54.58460854
259	54.33807369
260	53.98669933
261	53.68317879
262	53.50242144
263	53.25197748
264	52.9966258
265	52.83280548
266	52.55745411
267	52.20493716
268	51.96682437
269	51.74108197
270	51.51840675
271	51.47907408
272	51.21556268
273	50.85538969
274	50.58619868
275	50.27086101
276	50.12652337
277	49.83714218
278	49.74788581
279	49.54317774
280	49.51244575
281	49.27205148
282	49.07037504
283	49.02277269
284	48.72550815
285	48.46879254
286	48.44010705
287	48.38331683
288	48.07282645
289	47.9670744
290	47.73613155
291	47.48589915
292	47.23729857
293	47.02502494
294	46.88351437
295	46.70620015
296	46.61646364
297	46.30483622
298	46.24138399
299	46.20504193
300	45.95376814
301	45.73598103
302	45.69866139
303	45.66905224
304	45.48284645
305	45.3757261
306	45.3279189
307	45.0987044
308	44.88875145
309	44.86124324
310	44.62761509
311	44.52178612
312	44.25848432
313	44.22736965
